问题：新冠疫情期间，医药行业如何应对并发展？在短期和长期内，它们会受到什么影响，并且它能否保持原有的发展趋势？
答案：新冠疫情对不同行业的影响及未来发展趋势如下：

1. **银行业**：
   - 短期内，资产质量承压。受疫情影响的旅游、住宿、餐饮等行业的中小企业可能面临还款能力减弱的问题，导致不良贷款和坏账增加。
   - 银行需要调整贷款拨备，并关注短期内利差变化。银行网点加速转型以适应数字化需求。

2. **资产管理与财富管理行业**：
   - 短期内，投资债务流动性风险增加，非标投资面临压力，线下服务模式的公司经营压力加大。
   - 长期来看，疫情过后市场仍会偏好高流动性资产、高成长行业及多元化资产配置。资本市场有望恢复活力。

3. **资本市场的稳定与支持**：
   - 金融监管部门采取措施确保金融服务畅通，支持疫情防控和实体经济。股市逐步企稳并出现资金流入。
   - 证监会出台再融资相关政策，有助于缓解上市公司现金流紧张问题，并构建更有活力的资本市场。

4. **数字化转型加速**：
   - 疫情推动了金融科技的发展与应用，银行等金融机构加快线上业务服务和网点转型。

5. **政策调整与灵活安排**：
   - 银保监会回应资管新规过渡期，对个别机构给予适当灵活安排。

综上所述，新冠疫情对各行业产生了短期冲击，但同时也加速了数字化进程，并为长期发展带来了新的机遇。政府的积极措施和金融市场的恢复表明，经济有望在疫情过后实现修复与反弹。
